hardware,model,layer_name,input,kv_cache,latency(ns)
A800,qwen2-moe,lm_head,1,16,410623
A800,qwen2-moe,vocab_embedding,1,17,75776
A800,qwen2-moe,input_layernorm,1,17,59647
A800,qwen2-moe,attention/qkv,1,17,77652
A800,qwen2-moe,attention/rotary_emb,1,17,135423
A800,qwen2-moe,attention/dense,1,17,56789
A800,qwen2-moe,attention/wrapper,1,17,752810
A800,qwen2-moe,post_layernorm,1,17,58709
A800,qwen2-moe,mlp/fc,1,17,78506
A800,qwen2-moe,mlp/gelu,1,17,78676
A800,qwen2-moe,mlp/proj,1,17,71509
A800,qwen2-moe,moe/shared_expert,1,17,492458
A800,qwen2-moe,moe/shared_expert_gate,1,17,91434
A800,qwen2-moe,moe/gate,1,17,61866
A800,qwen2-moe,moe/experts,1,17,413695
A800,qwen2-moe,mlp/wrapper,1,17,1499092
A800,qwen2-moe,ln_f,1,17,59392
A800,qwen2-moe,lm_head,1,17,411648
A800,qwen2-moe,vocab_embedding,1,18,73728
A800,qwen2-moe,input_layernorm,1,18,59690
A800,qwen2-moe,attention/qkv,1,18,78420
A800,qwen2-moe,attention/rotary_emb,1,18,134527
A800,qwen2-moe,attention/dense,1,18,55978
A800,qwen2-moe,attention/wrapper,1,18,755455
A800,qwen2-moe,post_layernorm,1,18,58751
A800,qwen2-moe,mlp/fc,1,18,79487
A800,qwen2-moe,mlp/gelu,1,18,78719
A800,qwen2-moe,mlp/proj,1,18,72277
A800,qwen2-moe,moe/shared_expert,1,18,495700
A800,qwen2-moe,moe/shared_expert_gate,1,18,88661
A800,qwen2-moe,moe/gate,1,18,61738
A800,qwen2-moe,moe/experts,1,18,414036
A800,qwen2-moe,mlp/wrapper,1,18,1470378
A800,qwen2-moe,ln_f,1,18,64511
A800,qwen2-moe,lm_head,1,18,406527
A800,qwen2-moe,vocab_embedding,1,19,79871
A800,qwen2-moe,input_layernorm,1,19,58922
A800,qwen2-moe,attention/qkv,1,19,77141
A800,qwen2-moe,attention/rotary_emb,1,19,135679
A800,qwen2-moe,attention/dense,1,19,57045
A800,qwen2-moe,attention/wrapper,1,19,756820
A800,qwen2-moe,post_layernorm,1,19,59903
A800,qwen2-moe,mlp/fc,1,19,80639
A800,qwen2-moe,mlp/gelu,1,19,85076
A800,qwen2-moe,mlp/proj,1,19,76629
A800,qwen2-moe,moe/shared_expert,1,19,542548
A800,qwen2-moe,moe/shared_expert_gate,1,19,99797
A800,qwen2-moe,moe/gate,1,19,71381
A800,qwen2-moe,moe/experts,1,19,462164
A800,qwen2-moe,mlp/wrapper,1,19,1657642
A800,qwen2-moe,ln_f,1,19,59392
A800,qwen2-moe,lm_head,1,19,423936
A800,qwen2-moe,vocab_embedding,1,20,80895
A800,qwen2-moe,input_layernorm,1,20,58751
A800,qwen2-moe,attention/qkv,1,20,77269
A800,qwen2-moe,attention/rotary_emb,1,20,136234
A800,qwen2-moe,attention/dense,1,20,56575
A800,qwen2-moe,attention/wrapper,1,20,756735
A800,qwen2-moe,post_layernorm,1,20,58965
A800,qwen2-moe,mlp/fc,1,20,79359
A800,qwen2-moe,mlp/gelu,1,20,78676
A800,qwen2-moe,mlp/proj,1,20,72789
A800,qwen2-moe,moe/shared_expert,1,20,495530
A800,qwen2-moe,moe/shared_expert_gate,1,20,89343
A800,qwen2-moe,moe/gate,1,20,60842
A800,qwen2-moe,moe/experts,1,20,415444
A800,qwen2-moe,mlp/wrapper,1,20,1475498
A800,qwen2-moe,ln_f,1,20,61439
A800,qwen2-moe,lm_head,1,20,415744
A800,qwen2-moe,vocab_embedding,1,21,84991
A800,qwen2-moe,input_layernorm,1,21,60031
A800,qwen2-moe,attention/qkv,1,21,76458
A800,qwen2-moe,attention/rotary_emb,1,21,134442
A800,qwen2-moe,attention/dense,1,21,56191
A800,qwen2-moe,attention/wrapper,1,21,753620
A800,qwen2-moe,post_layernorm,1,21,59178
A800,qwen2-moe,mlp/fc,1,21,78292
A800,qwen2-moe,mlp/gelu,1,21,79615
A800,qwen2-moe,mlp/proj,1,21,71466
A800,qwen2-moe,moe/shared_expert,1,21,496170
A800,qwen2-moe,moe/shared_expert_gate,1,21,88874
A800,qwen2-moe,moe/gate,1,21,61226
A800,qwen2-moe,moe/experts,1,21,412415
A800,qwen2-moe,mlp/wrapper,1,21,1468927
A800,qwen2-moe,ln_f,1,21,59392
A800,qwen2-moe,lm_head,1,21,414719
A800,qwen2-moe,vocab_embedding,1,22,80895
